'Código da unidade geográfica;Situação do setor;Logradouro;Número no logradouro;Complemento;Latitude;Longitude;Localidade;Ponto de referência;Espécie de endereço;Tipo de estabelecimento;Indicador de endereço;Identificação domicílio coletivo;Número da quadra;Número da face;CEP
240200605000001;Urbano;RUA PROFESSOR COUTINHO;370;;;;CENTRO;;Domicílio particular;;-;;5;2;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;SN;;;;CENTRO;;Estabelecimento de outras finalidades;ESCRITORIO DE ADVOCACIA;Múltiplo;;5;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;360;;;;CENTRO;;Domicílio particular;;-;;5;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;348;;;;CENTRO;;Domicílio particular;;-;;5;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;338;;;;CENTRO;;Domicílio particular;;-;;5;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;330;;;;CENTRO;;Domicílio particular;;-;;5;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;326;;;;CENTRO;;Domicílio particular;;-;;5;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;310;ANDAR 1;;;CENTRO;;Domicílio particular;;-;;5;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;310;;;;CENTRO;;Estabelecimento de outras finalidades;ESCRITORIO DE ADVOCACIA;Múltiplo;;5;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;306;;;;CENTRO;;Domicílio particular;;-;;5;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;304;;;;CENTRO;;Domicílio particular;;-;;5;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;300;;;;CENTRO;;Domicílio particular;;-;;5;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;296;;;;CENTRO;;Domicílio particular;;-;;5;3;59300000
240200605000001;Urbano;AVENIDA SERIDO;437;LOJA B;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE ROUPAS;Múltiplo;;9;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;437;LOJA A;;;CENTRO;;Estabelecimento de outras finalidades;OTICA;Múltiplo;;9;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;447;;;;CENTRO;;Estabelecimento de outras finalidades;OTICA;Múltiplo;;9;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;SN;LOJA;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE CELULAR;Único;;9;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;SN;LOJA;;;CENTRO;;Estabelecimento de outras finalidades;ESTUDIO FOTOGRAFICO;Múltiplo;;9;1;59300000
